,X,Y,Delta,Tetha,Alfa,Beta,Gamma
EEG.AF3,-0.65,2.2,0.127830055,0.04917155,0.067378038,0.141400141,0.563990961
EEG.F7,-1.54,1.8,0.206036996,0.11688247,0.08605433,0.114036073,0.414016474
EEG.F3,-0.85,1.4,0.102098263,0.043918545,0.060515014,0.142950507,0.566649969
EEG.FC5,-1.34,0.7,0.157719945,0.078973333,0.075203374,0.129775762,0.454456578
EEG.T7,-1.88,0,0.072592076,0.022016514,0.055656576,0.04632383,0.741801955
EEG.P7,-1.5,-1.86,0.534138121,0.057399222,0.010485067,0.024622259,0.077601023
EEG.O1,-0.6,-3,0.495698171,0.156220884,0.048434269,0.070600965,0.202135163
EEG.O2,0.6,-3,0.334753373,0.070693077,0.03384018,0.074137869,0.423137265
EEG.P8,1.5,-1.86,0.398971392,0.152311945,0.049543302,0.055032081,0.220653604
EEG.T8,1.88,0,0.203562963,0.062315592,0.044782635,0.079949494,0.586593204
EEG.FC6,1.34,0.7,0.248969436,0.134896402,0.079679823,0.091558938,0.387410043
EEG.F4,0.85,1.4,0.217856584,0.076866114,0.076969561,0.125598308,0.469188536
EEG.F8,1.54,1.8,0.205877764,0.188996841,0.089701265,0.097503203,0.328312595
EEG.AF4,0.65,2.2,0.200194162,0.089497535,0.079319744,0.117426071,0.442480508
