,X,Y,Delta,Tetha,Alfa,Beta,Gamma
EEG.AF3,-0.65,2.2,0.339173595,0.199252623,0.132007783,0.1545747,0.096508914
EEG.F7,-1.54,1.8,0.267712693,0.27090868,0.098518267,0.090218666,0.048984591
EEG.F3,-0.85,1.4,0.232478359,0.166792716,0.089809162,0.183285401,0.183521579
EEG.FC5,-1.34,0.7,0.411847223,0.112587963,0.112462445,0.163487564,0.09277476
EEG.T7,-1.88,0,0.344885674,0.117846631,0.10158545,0.085046442,0.25648264
EEG.P7,-1.5,-1.86,0.180252157,0.180017124,0.151464305,0.282623695,0.152667422
EEG.O1,-0.6,-3,0.437888421,0.175105359,0.110404411,0.078024495,0.121477577
EEG.O2,0.6,-3,0.426289336,0.09883689,0.075345857,0.071624228,0.237032451
EEG.P8,1.5,-1.86,0.41580565,0.03749418,0.047240352,0.094380196,0.205646417
EEG.T8,1.88,0,0.167822908,0.106456251,0.107484287,0.103853068,0.257134341
EEG.FC6,1.34,0.7,0.263519472,0.144644314,0.061423486,0.12792919,0.095835035
EEG.F4,0.85,1.4,0.216204002,0.218848208,0.094807845,0.208498212,0.175283901
EEG.F8,1.54,1.8,0.354907502,0.205558926,0.070772034,0.137848017,0.075014181
EEG.AF4,0.65,2.2,0.248887249,0.18889156,0.107233835,0.241877418,0.1290799
