,X,Y,Delta,Tetha,Alfa,Beta,Gamma
EEG.AF3,-0.65,2.2,0.192320412,0.102345417,0.076596503,0.106821528,0.341572758
EEG.F7,-1.54,1.8,0.165459224,0.167917286,0.169646167,0.156289825,0.270306598
EEG.F3,-0.85,1.4,0.487346728,0.054870009,0.044813942,0.084704016,0.210764862
EEG.FC5,-1.34,0.7,0.207261506,0.08300554,0.06752583,0.112528572,0.413357459
EEG.T7,-1.88,0,0.221354306,0.025871279,0.017902365,0.045433421,0.55748852
EEG.P7,-1.5,-1.86,0.139338853,0.123995851,0.094310965,0.061339311,0.427439322
EEG.O1,-0.6,-3,0.258824216,0.096972331,0.031183072,0.098018392,0.374922846
EEG.O2,0.6,-3,0.381362135,0.051227643,0.019776271,0.05776583,0.362816523
EEG.P8,1.5,-1.86,0.163464817,0.147707072,0.075074307,0.091232641,0.467924252
EEG.T8,1.88,0,0.215704151,0.085492659,0.036810906,0.135813259,0.416383958
EEG.FC6,1.34,0.7,0.272696974,0.108897643,0.058253222,0.155556888,0.237920837
EEG.F4,0.85,1.4,0.093821972,0.209028969,0.093127741,0.155340405,0.319498449
EEG.F8,1.54,1.8,0.426095336,0.18068727,0.06227578,0.087362103,0.046954458
EEG.AF4,0.65,2.2,0.171187428,0.13795623,0.028152133,0.21999818,0.345834097
