title:Decision 2, start timestamp:1648680757.265110, stop timestamp:1648680778.542594, headset type:EPOCPLUS, headset serial:4A2C0467, headset firmware:633, channels:67, sampling rate:eeg_128;mot_32, samples:2730      , version:2.1, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1648680757.265110,1648680757.308385,67.000000,0.000000,4323.717773,4329.871582,4285.128418,4320.512695,4262.051270,4238.717773,4235.256348,4210.641113,4205.769043,4173.333496,4290.256348,4252.948730,4213.974121,4298.077148,3008.000000,3.000000,73.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1648680757.272906,1648680757.316092,68.000000,0.000000,4324.743652,4325.384766,4288.461426,4324.615234,4272.692383,4246.025879,4242.820313,4216.794922,4202.948730,4179.871582,4263.846191,4246.666504,4252.436035,4293.589844,3606.000000,3.000000,73.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,17.000000,0.000000,0.700710,-0.180542,-0.676819,-0.135376,0.990250,-0.004883,0.025879,-23.477531,-100.938431,9.420920
1648680757.280703,1648680757.323898,69.000000,0.000000,4315.897461,4313.333496,4281.282227,4314.102539,4269.358887,4244.615234,4238.333496,4206.153809,4196.410156,4171.922852,4240.128418,4237.051270,4240.769043,4286.794922,3586.000000,3.000000,73.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1648680757.288500,1648680757.331604,70.000000,0.000000,4285.641113,4298.589844,4259.743652,4292.820313,4260.256348,4238.717773,4235.256348,4196.153809,4189.102539,4152.820313,4221.025879,4217.051270,4180.128418,4262.307617,3383.000000,3.000000,73.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1648680757.296297,1648680757.339411,71.000000,0.000000,4276.922852,4310.641113,4253.077148,4296.025879,4256.153809,4237.179688,4240.641113,4199.102539,4186.922852,4143.461426,4222.563965,4206.282227,4118.717773,4244.230957,3566.000000,3.000000,73.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1648680757.304094,1648680757.347117,72.000000,0.000000,4292.563965,4321.153809,4261.153809,4311.794922,4250.128418,4230.769043,4237.051270,4199.358887,4180.769043,4138.077148,4222.948730,4207.948730,4104.358887,4244.615234,3545.000000,3.000000,73.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,18.000000,0.000000,0.705034,-0.165710,-0.678650,-0.122070,1.016617,-0.060060,0.033204,-23.627069,-100.041199,8.224613
1648680757.311890,1648680757.354923,73.000000,0.000000,4298.461426,4317.436035,4271.025879,4311.666504,4267.820313,4244.871582,4250.256348,4218.333496,4196.410156,4150.897461,4219.487305,4218.974121,4141.666504,4252.051270,3587.000000,3.000000,73.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1648680757.319687,1648680757.362630,74.000000,0.000000,4320.769043,4345.641113,4304.871582,4344.615234,4318.333496,4297.307617,4294.743652,4269.615234,4250.641113,4201.282227,4238.846191,4248.333496,4211.538574,4280.384766,3616.000000,3.000000,73.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1648680757.327484,1648680757.370436,75.000000,0.000000,4346.666504,4370.384766,4328.333496,4385.000000,4334.230957,4311.538574,4304.743652,4277.436035,4263.846191,4212.051270,4256.282227,4261.025879,4198.205078,4296.666504,3582.000000,3.000000,73.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1648680757.335281,1648680757.378142,76.000000,0.000000,4350.256348,4360.256348,4328.205078,4382.563965,4332.820313,4300.641113,4295.897461,4271.025879,4256.794922,4205.000000,4278.461426,4268.589844,4122.179688,4297.436035,3581.000000,3.000000,73.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,19.000000,0.000000,0.707041,-0.157959,-0.679688,-0.114746,1.017594,-0.091310,0.041505,-25.122454,-99.143967,8.374151
