title:Eleccion1, start timestamp:1649274815.850330, stop timestamp:1649274828.654936, headset type:EPOCPLUS, headset serial:4A2C0467, headset firmware:633, channels:67, sampling rate:eeg_128;mot_32, samples:1642      , version:2.1, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1649274815.850330,1649274815.847328,81.000000,0.000000,4230.641113,4291.153809,4248.333496,4266.538574,4271.666504,4236.538574,4233.717773,4241.666504,4256.538574,4232.179688,4240.897461,4249.230957,4245.641113,4241.794922,3492.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649274815.858132,1649274815.855230,82.000000,0.000000,4231.410156,4293.077148,4250.256348,4274.358887,4258.077148,4231.153809,4228.077148,4239.615234,4255.769043,4234.358887,4242.307617,4248.717773,4239.871582,4246.922852,3618.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649274815.865935,1649274815.863033,83.000000,0.000000,4232.051270,4294.230957,4247.563965,4262.948730,4272.948730,4220.384766,4215.256348,4231.666504,4246.794922,4237.692383,4248.333496,4248.205078,4242.948730,4249.358887,3608.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649274815.873738,1649274815.870936,84.000000,0.000000,4229.230957,4291.025879,4242.692383,4245.769043,4286.666504,4212.436035,4214.358887,4232.179688,4248.846191,4231.025879,4246.282227,4243.589844,4244.102539,4243.333496,3594.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,21.000000,0.000000,0.189284,0.610657,-0.375610,0.670959,0.976577,-0.283696,-0.030762,-32.898453,-104.527351,-0.598154
1649274815.881541,1649274815.878739,85.000000,0.000000,4231.153809,4282.179688,4249.743652,4251.025879,4263.846191,4219.615234,4225.897461,4234.102539,4248.974121,4233.077148,4242.948730,4244.230957,4246.794922,4243.077148,3492.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649274815.889344,1649274815.886442,86.000000,0.000000,4242.307617,4288.974121,4263.461426,4265.641113,4261.025879,4230.897461,4226.922852,4236.666504,4250.512695,4255.769043,4258.589844,4257.820313,4267.051270,4254.230957,3618.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649274815.897147,1649274815.894245,87.000000,0.000000,4246.410156,4307.179688,4265.641113,4266.410156,4288.717773,4235.000000,4224.102539,4248.717773,4272.051270,4268.333496,4272.563965,4265.384766,4282.051270,4261.666504,3608.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649274815.904950,1649274815.901948,88.000000,0.000000,4235.769043,4306.794922,4249.358887,4263.974121,4280.769043,4235.256348,4231.538574,4253.846191,4282.051270,4253.974121,4256.025879,4249.230957,4264.615234,4250.384766,3594.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,22.000000,0.000000,0.189254,0.610779,-0.375427,0.670959,0.961440,-0.286625,-0.025879,-33.646145,-104.975967,-0.299077
1649274815.912753,1649274815.909751,89.000000,0.000000,4226.410156,4292.692383,4232.948730,4266.538574,4254.230957,4231.794922,4232.692383,4249.743652,4268.077148,4234.871582,4235.769043,4229.487305,4234.358887,4231.282227,3492.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649274815.920556,1649274815.917454,90.000000,0.000000,4229.615234,4287.948730,4230.769043,4260.256348,4265.512695,4229.230957,4224.230957,4244.358887,4256.282227,4227.948730,4231.410156,4227.820313,4223.333496,4231.025879,3618.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
