title:Resolver, start timestamp:1649268823.566018, stop timestamp:1649268860.407457, headset type:EPOCPLUS, headset serial:4A2C0467, headset firmware:633, channels:67, sampling rate:eeg_128;mot_32, samples:4711      , version:2.1, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1649268823.566018,1649268823.590692,29.000000,0.000000,4246.025879,4268.717773,4264.358887,4263.589844,4251.025879,4246.794922,4246.538574,4245.000000,4247.692383,4248.461426,4229.871582,4233.974121,4203.589844,4260.512695,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649268823.573840,1649268823.598417,30.000000,0.000000,4238.846191,4266.794922,4266.794922,4261.410156,4247.692383,4246.410156,4242.179688,4235.384766,4235.256348,4240.769043,4223.717773,4234.102539,4201.025879,4248.846191,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649268823.581662,1649268823.606243,31.000000,0.000000,4243.589844,4273.461426,4272.692383,4263.717773,4246.794922,4246.922852,4246.538574,4244.487305,4233.333496,4234.358887,4228.717773,4245.384766,4201.410156,4255.000000,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649268823.589484,1649268823.613969,32.000000,0.000000,4248.461426,4277.307617,4275.769043,4264.487305,4249.102539,4247.820313,4247.563965,4249.743652,4237.051270,4238.717773,4229.743652,4244.358887,4200.256348,4266.410156,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,8.000000,0.000000,0.129810,-0.655151,0.185303,-0.720825,0.897475,-0.437507,0.057618,-33.945221,-110.209808,-2.691691
1649268823.597306,1649268823.621694,33.000000,0.000000,4247.692383,4276.410156,4273.846191,4266.153809,4254.871582,4245.769043,4236.153809,4236.025879,4233.205078,4240.128418,4226.794922,4240.512695,4200.641113,4264.487305,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649268823.605128,1649268823.629520,34.000000,0.000000,4247.051270,4281.025879,4274.871582,4273.461426,4266.025879,4245.384766,4234.102539,4231.282227,4236.922852,4241.410156,4229.358887,4246.410156,4210.128418,4264.230957,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649268823.612950,1649268823.637346,35.000000,0.000000,4248.974121,4283.205078,4278.461426,4281.666504,4271.666504,4249.230957,4245.769043,4243.461426,4249.102539,4250.897461,4233.461426,4249.743652,4217.307617,4276.538574,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649268823.620772,1649268823.645071,36.000000,0.000000,4252.692383,4279.487305,4276.538574,4278.589844,4264.871582,4249.102539,4248.461426,4249.487305,4247.563965,4251.153809,4233.846191,4247.820313,4212.948730,4281.410156,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,9.000000,0.000000,0.130046,-0.654968,0.185547,-0.720886,0.912612,-0.438483,0.078614,-33.047989,-112.303352,-1.644923
1649268823.628594,1649268823.652797,37.000000,0.000000,4250.769043,4278.717773,4272.436035,4267.051270,4259.871582,4245.897461,4242.820313,4247.307617,4239.230957,4241.282227,4228.461426,4246.410156,4207.563965,4269.487305,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649268823.636416,1649268823.660623,38.000000,0.000000,4246.153809,4272.692383,4269.871582,4267.820313,4263.077148,4246.538574,4243.974121,4247.948730,4243.333496,4243.205078,4220.384766,4245.769043,4206.282227,4259.230957,0.000000,3.000000,55.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
